year,rank,rider,time,team,margin,winning_time_parts,finishing_time_parts,country
1911,27,pietro ghislotti,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",ita
1911,28,lucien roquebert,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,1,odile defraye,,alcyon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,2,eugène christophe,,armor,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,3,gustave garrigou,,alcyon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,4,marcel buysse,,peugeot,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,5,jean alavoine,,armor,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,6,philippe thys,,peugeot,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,7,hector tiberghien,,griffon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,8,henri devroye,,le globe,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,9,félicien salmon,,peugeot,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,10,alfons spiessens,,j.b. louvet,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,11,louis heusghem,,alcyon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,12,rené vandenberghe,,thomann,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,13,vicenzo borgarello,,j.b. louvet,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",italy
1912,14,françois faber,,automoto,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",lux
1912,15,louis engel,,aiglon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,16,charles deruyter,,peugeot,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,17,jacques coomans,,thomann,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,18,firmin lambot,,le globe,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,19,ottavio pratesi,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",italy
1912,20,charles guyot,,aiglon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",sui
1912,21,jules deloffre,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,22,gabriel figuet,,griffon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,23,édouard léonard,,j.b. louvet,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,24,eugène dhers,,automoto,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,25,pierre-joseph heusghem,,le globe,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,26,pierre everaerts,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,27,julien maitron,,automoto,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,28,henri cornet,,le globe,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,29,françois lafourcade,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,30,augustin ringeval,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,31,maurice leliaert,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",bel
1912,32,georges oudin,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,33,fernand courcelles,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,34,raymond harquet,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,35,emile druz,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,36,emile eigeldinger,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,37,charles dumont,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",sui
1912,38,henri alavoine,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,39,emile caudrelier,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,40,gaston neboux,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1912,41,maurice lartigue,,,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",fra
1913,1,philippe thys,"197h 54' 00""",peugeot,"[0, 0, 0]","[197, 54, 0]","[197, 54, 0]",bel
1913,2,gustave garrigou,"+8' 37""",peugeot,"[0, 8, 37]","[197, 54, 0]","[197, 62, 37]",fra
1913,3,marcel buysse,"+ 3h 30' 55""",peugeot,"[3, 30, 55]","[197, 54, 0]","[200, 84, 55]",bel
1913,4,firmin lambot,"+ 4h 12' 45""",griffon,"[4, 12, 45]","[197, 54, 0]","[201, 66, 45]",bel
1913,5,françois faber,"+ 6h 26' 04""",peugeot,"[6, 26, 4]","[197, 54, 0]","[203, 80, 4]",lux
1913,6,alfons spiessens,"+ 7h 57' 52""",j.b. louvet,"[7, 57, 52]","[197, 54, 0]","[204, 111, 52]",bel
1913,7,eugène christophe,"+ 14h 06' 35""",peugeot,"[14, 6, 35]","[197, 54, 0]","[211, 60, 35]",fra
1913,8,camillo bertarelli,"+ 16h 21' 38""",,"[16, 21, 38]","[197, 54, 0]","[213, 75, 38]",ita
1913,9,joseph vandaele,"+ 16h 39' 53""",j.b. louvet,"[16, 39, 53]","[197, 54, 0]","[213, 93, 53]",bel
1913,10,emile engel,"+ 16h 52' 34""",peugeot,"[16, 52, 34]","[197, 54, 0]","[213, 106, 34]",fra
1913,11,louis trousselier,"+ 18h 11' 13""",j.b. louvet,"[18, 11, 13]","[197, 54, 0]","[215, 65, 13]",fra
1913,12,jules deloffre,"+ 18h 31' 31""",,"[18, 31, 31]","[197, 54, 0]","[215, 85, 31]",fra
1913,13,clemente canepari,"+ 19h 11' 13""",j.b. louvet,"[19, 11, 13]","[197, 54, 0]","[216, 65, 13]",ita
1913,14,paul deman,"+ 19h 27' 02""",automoto,"[19, 27, 2]","[197, 54, 0]","[216, 81, 2]",bel
1913,15,vincent dhulst,"+ 20h 10' 12""",,"[20, 10, 12]","[197, 54, 0]","[217, 64, 12]",fra
1913,16,louis petitjean,"+ 22h 00' 27""",,"[22, 0, 27]","[197, 54, 0]","[219, 54, 27]",bel
1913,17,paul hostein,"+ 25h 41' 06""",peugeot,"[25, 41, 6]","[197, 54, 0]","[222, 95, 6]",fra
1913,18,maurice leliaert,"+ 26h 18' 25""",,"[26, 18, 25]","[197, 54, 0]","[223, 72, 25]",bel
1913,19,jean alavoine,"+ 27h 43' 47""",peugeot,"[27, 43, 47]","[197, 54, 0]","[224, 97, 47]",fra
1913,20,giuseppe contesini,"+ 30h 37' 34""",,"[30, 37, 34]","[197, 54, 0]","[227, 91, 34]",ita
1913,21,louis coolsaet,"+ 31h 46' 50""",,"[31, 46, 50]","[197, 54, 0]","[228, 100, 50]",bel
1913,22,achille de smet,"+ 54h 44' 07""",,"[54, 44, 7]","[197, 54, 0]","[251, 98, 7]",bel
1913,23,charles dumont,"+ 64h 33' 55""",,"[64, 33, 55]","[197, 54, 0]","[261, 87, 55]",sui
1913,24,celidonio morini,"+ 76h 31' 47""",,"[76, 31, 47]","[197, 54, 0]","[273, 85, 47]",ita
1913,25,henri alavoine,"+ 76h 55' 52""",,"[76, 55, 52]","[197, 54, 0]","[273, 109, 52]",fra
1914,1,philippe thys,"200h 28' 48""",peugeot–wolber,"[0, 0, 0]","[200, 28, 48]","[200, 28, 48]",bel
1914,2,henri pélissier,"+ 1' 50""",peugeot–wolber,"[0, 1, 50]","[200, 28, 48]","[200, 29, 98]",fra
1914,3,jean alavoine,"+ 36' 53""",peugeot–wolber,"[0, 36, 53]","[200, 28, 48]","[200, 64, 101]",fra
1914,4,jean rossius,"+ 1h 57' 05""",alcyon–soly,"[1, 57, 5]","[200, 28, 48]","[201, 85, 53]",bel
1914,5,gustave garrigou,"+ 3h 00' 21""",peugeot–wolber,"[3, 0, 21]","[200, 28, 48]","[203, 28, 69]",fra
1914,6,emile georget,"+ 3h 20' 59""",peugeot–wolber,"[3, 20, 59]","[200, 28, 48]","[203, 48, 107]",fra
1914,7,alfons spiessens,"+ 3h 53' 55""",j.b. louvet–continental,"[3, 53, 55]","[200, 28, 48]","[203, 81, 103]",bel
1914,8,firmin lambot,"+ 5h 08' 54""",peugeot–wolber,"[5, 8, 54]","[200, 28, 48]","[205, 36, 102]",bel
1914,9,françois faber,"+ 6h 15' 53""",peugeot–wolber,"[6, 15, 53]","[200, 28, 48]","[206, 43, 101]",lux
1914,10,louis heusghem,"+ 7h 49' 02""",peugeot–wolber,"[7, 49, 2]","[200, 28, 48]","[207, 77, 50]",bel
1914,11,eugène christophe,"+ 8h 31' 58""",peugeot–wolber,"[8, 31, 58]","[200, 28, 48]","[208, 59, 106]",fra
1914,12,ernest paul,"+ 9h 42' 51""",delage–continental,"[9, 42, 51]","[200, 28, 48]","[209, 70, 99]",fra
1914,13,oscar egg,"+ 10h 00' 40""",peugeot–wolber,"[10, 0, 40]","[200, 28, 48]","[210, 28, 88]",sui
1914,14,léon scieur,"+ 10h 02' 30""",thoman–joly,"[10, 2, 30]","[200, 28, 48]","[210, 30, 78]",bel
1914,15,camille botte,"+ 10h 14' 33""",,"[10, 14, 33]","[200, 28, 48]","[210, 42, 81]",bel
1914,16,angelo erba,"+ 11h 21' 22""",alleluia–continental,"[11, 21, 22]","[200, 28, 48]","[211, 49, 70]",ita
1914,17,donald kirkham,"+ 11h 53' 39""",phebus–dunlop,"[11, 53, 39]","[200, 28, 48]","[211, 81, 87]",aus
1914,18,hector tiberghien,"+ 12h 23' 21""",delage–continental,"[12, 23, 21]","[200, 28, 48]","[212, 51, 69]",bel
1914,19,jacques coomans,"+ 12h 24' 15""",thoman–joly,"[12, 24, 15]","[200, 28, 48]","[212, 52, 63]",bel
1914,20,iddo munro,"+ 12h 34' 57""",phebus–dunlop,"[12, 34, 57]","[200, 28, 48]","[212, 62, 105]",aus
1914,21,charles charron,"+ 12h 59' 23""",delage–continental,"[12, 59, 23]","[200, 28, 48]","[212, 87, 71]",fra
1914,22,henri devroye,"+ 13h 22' 14""",armor–soly,"[13, 22, 14]","[200, 28, 48]","[213, 50, 62]",bel
1914,23,maurice brocco,"+ 14h 32' 36""",gladiator–dunlop,"[14, 32, 36]","[200, 28, 48]","[214, 60, 84]",fra
1914,24,julien tuytten,"+ 14h 36' 14""",,"[14, 36, 14]","[200, 28, 48]","[214, 64, 62]",bel
1914,25,vincenzo borgarello,"+ 15h 18' 21""",clement–dunlop,"[15, 18, 21]","[200, 28, 48]","[215, 46, 69]",ita
1914,26,louis petitjean,"+ 15h 38' 44""",delage–continental,"[15, 38, 44]","[200, 28, 48]","[215, 66, 92]",bel
1914,27,jules nempon,"+ 16h 32' 55""",j.b. louvet–continental,"[16, 32, 55]","[200, 28, 48]","[216, 60, 103]",fra
1914,28,rené vandenberghe,"+ 17h 05' 07""",j.b. louvet–continental,"[17, 5, 7]","[200, 28, 48]","[217, 33, 55]",bel
1914,29,marcel baumler,"+ 17h 07' 55""",peugeot–wolber,"[17, 7, 55]","[200, 28, 48]","[217, 35, 103]",fra
1914,30,marcel godivier,"+ 18h 18' 57""",gladiator–dunlop,"[18, 18, 57]","[200, 28, 48]","[218, 46, 105]",fra
1914,31,paul duboc,"+ 18h 35' 32""",automoto,"[18, 35, 32]","[200, 28, 48]","[218, 63, 80]",fra
1914,32,pierre everaerts,"+ 19h 21' 04""",,"[19, 21, 4]","[200, 28, 48]","[219, 49, 52]",bel
1914,33,ottavio pratesi,"+ 20h 31' 40""",,"[20, 31, 40]","[200, 28, 48]","[220, 59, 88]",ita
1914,34,constant ménager,"+ 20h 58' 45""",gladiator–dunlop,"[20, 58, 45]","[200, 28, 48]","[220, 86, 93]",fra
1914,35,charles cruchon,"+ 21h 04' 56""",gladiator–dunlop,"[21, 4, 56]","[200, 28, 48]","[221, 32, 104]",fra
1914,36,jules deloffre,"+ 22h 03' 15""",,"[22, 3, 15]","[200, 28, 48]","[222, 31, 63]",fra
1914,37,camillo bertarelli,"+ 23h 08' 26""",alleluia–continental,"[23, 8, 26]","[200, 28, 48]","[223, 36, 74]",ita
1914,38,louis trousselier,"+ 23h 44' 30""",automoto,"[23, 44, 30]","[200, 28, 48]","[223, 72, 78]",fra
1914,39,adrien alpini,"+ 26h 11' 22""",,"[26, 11, 22]","[200, 28, 48]","[226, 39, 70]",ita
1914,40,gaston degy,"+ 29h 05' 54""",automoto,"[29, 5, 54]","[200, 28, 48]","[229, 33, 102]",fra
1914,41,raymond harquet,"+ 30h 04' 05""",alleluia–continental,"[30, 4, 5]","[200, 28, 48]","[230, 32, 53]",fra
1914,42,louis engel,"+ 30h 54' 28""",delage–continental,"[30, 54, 28]","[200, 28, 48]","[230, 82, 76]",fra
1914,43,emile guyon,"+ 30h 55' 10""",,"[30, 55, 10]","[200, 28, 48]","[230, 83, 58]",sui
1914,44,mario spinelli,"+ 35h 13' 35""",,"[35, 13, 35]","[200, 28, 48]","[235, 41, 83]",ita
1914,45,charles kippert,"+ 35h 56' 03""",gladiator–dunlop,"[35, 56, 3]","[200, 28, 48]","[235, 84, 51]",fra
1914,46,charles dumont,"+ 37h 42' 31""",,"[37, 42, 31]","[200, 28, 48]","[237, 70, 79]",sui
1914,47,rené cottrel,"+ 37h 42' 31""",,"[37, 42, 31]","[200, 28, 48]","[237, 70, 79]",fra
1914,48,sante goi,"+ 52h 15' 32""",,"[52, 15, 32]","[200, 28, 48]","[252, 43, 80]",ita
1914,49,emilio cuchetti,"+ 59h 20' 16""",,"[59, 20, 16]","[200, 28, 48]","[259, 48, 64]",ita
1914,50,gaston neboux,"+ 59h 59' 01""",,"[59, 59, 1]","[200, 28, 48]","[259, 87, 49]",fra
1914,51,henri allard,"+ 67h 46' 24""",,"[67, 46, 24]","[200, 28, 48]","[267, 74, 72]",bel
1914,52,henri alavoine,"+ 72h 55' 21""",,"[72, 55, 21]","[200, 28, 48]","[272, 83, 69]",fra
1914,53,marcel rottie,"+ 84h 03' 10""",,"[84, 3, 10]","[200, 28, 48]","[284, 31, 58]",fra
1914,54,henri leclerc,"+ 99h 04' 45""",,"[99, 4, 45]","[200, 28, 48]","[299, 32, 93]",fra
1919,1,firmin lambot,"231h 07' 15""",,"[0, 0, 0]","[231, 7, 15]","[231, 7, 15]",bel
1919,2,jean alavoine,"+ 1h 42' 54""",,"[1, 42, 54]","[231, 7, 15]","[232, 49, 69]",fra
1919,3,eugène christophe,"+ 2h 26' 31""",,"[2, 26, 31]","[231, 7, 15]","[233, 33, 46]",fra
1919,4,léon scieur,"+ 2h 52' 15""",,"[2, 52, 15]","[231, 7, 15]","[233, 59, 30]",bel
1919,5,honoré barthélemy,"+ 4h 14' 22""",,"[4, 14, 22]","[231, 7, 15]","[235, 21, 37]",fra
1919,6,jacques coomans,"+ 15h 21' 34""",,"[15, 21, 34]","[231, 7, 15]","[246, 28, 49]",bel
1919,7,luigi lucotti,"+ 16h 01' 12""",,"[16, 1, 12]","[231, 7, 15]","[247, 8, 27]",ita
1919,8,joseph van daele,"+ 18h 23' 02""",,"[18, 23, 2]","[231, 7, 15]","[249, 30, 17]",bel
1919,9,alfred steux,"+ 20h 29' 01""",,"[20, 29, 1]","[231, 7, 15]","[251, 36, 16]",bel
1919,10,jules nempon,"+ 21h 44' 12""",,"[21, 44, 12]","[231, 7, 15]","[252, 51, 27]",fra
1920,1,philippe thys,"231h 07' 15""",,"[0, 0, 0]","[231, 7, 15]","[231, 7, 15]",bel
1920,2,hector heusghem,"+ 57' 21""",,"[0, 57, 21]","[231, 7, 15]","[231, 64, 36]",bel
1920,3,firmin lambot,"+ 1h 39' 35""",,"[1, 39, 35]","[231, 7, 15]","[232, 46, 50]",bel
1920,4,leon scieur,"+ 1h 44' 58""",,"[1, 44, 58]","[231, 7, 15]","[232, 51, 73]",bel
1920,5,émile masson,"+ 2h 56' 52""",,"[2, 56, 52]","[231, 7, 15]","[233, 63, 67]",bel
1920,6,louis heusghem,"+ 3h 40' 47""",,"[3, 40, 47]","[231, 7, 15]","[234, 47, 62]",bel
1920,7,jean rossius,"+ 3h 49' 55""",,"[3, 49, 55]","[231, 7, 15]","[234, 56, 70]",bel
1920,8,honore barthelemy,"+ 5h 35' 19""",,"[5, 35, 19]","[231, 7, 15]","[236, 42, 34]",fra
1920,9,félix goethals,"+ 9h 23' 07""",,"[9, 23, 7]","[231, 7, 15]","[240, 30, 22]",fra
1920,10,joseph vandaele,"+ 10h 45' 41""",,"[10, 45, 41]","[231, 7, 15]","[241, 52, 56]",bel
1920,11,eugène dhers,"+ 11h 15' 09""",,"[11, 15, 9]","[231, 7, 15]","[242, 22, 24]",fra
1920,12,joseph pelletier,"+ 20h 04' 32""",,"[20, 4, 32]","[231, 7, 15]","[251, 11, 47]",fra
1920,13,théo wynsdau,"+ 25h 14' 02""",,"[25, 14, 2]","[231, 7, 15]","[256, 21, 17]",bel
1920,14,noel amenc,"+ 33h 25' 47""",,"[33, 25, 47]","[231, 7, 15]","[264, 32, 62]",fra
1920,15,joseph muller,"+ 33h 48' 53""",,"[33, 48, 53]","[231, 7, 15]","[264, 55, 68]",fra
1920,16,henri ferrera,"+ 34h 32' 27""",,"[34, 32, 27]","[231, 7, 15]","[265, 39, 42]",fra
1920,17,guglielmo ceccherelli,"+ 48h 40' 35""",,"[48, 40, 35]","[231, 7, 15]","[279, 47, 50]",ita
1920,18,marius matheron,"+ 51h 11' 04""",,"[51, 11, 4]","[231, 7, 15]","[282, 18, 19]",fra
1920,19,etienne dorfeuille,"+ 53h 10' 00""",,"[53, 10, 0]","[231, 7, 15]","[284, 17, 15]",fra
1920,20,pierre hudsyn,"+ 55h 36' 42""",,"[55, 36, 42]","[231, 7, 15]","[286, 43, 57]",bel
1920,21,andré coutte,"+ 55h 57' 46""",,"[55, 57, 46]","[231, 7, 15]","[286, 64, 61]",fra
1920,22,charles raboisson,"+ 69h 00' 05""",,"[69, 0, 5]","[231, 7, 15]","[300, 7, 20]",fra
1921,1,leon scieur,"221h 50' 26""",,"[0, 0, 0]","[221, 50, 26]","[221, 50, 26]",bel
1921,2,hector heusghem,"+ 18' 36""",,"[0, 18, 36]","[221, 50, 26]","[221, 68, 62]",bel
1921,3,honore barthelemy,"+ 2h 01' 00""",,"[2, 1, 0]","[221, 50, 26]","[223, 51, 26]",fra
1921,4,luigi lucotti,"+ 2h 39' 18""",,"[2, 39, 18]","[221, 50, 26]","[223, 89, 44]",ita
1921,5,hector tiberghien,"+ 4h 33' 19""",,"[4, 33, 19]","[221, 50, 26]","[225, 83, 45]",bel
1921,6,victor lenaers,"+ 4h 53' 23""",,"[4, 53, 23]","[221, 50, 26]","[225, 103, 49]",bel
1921,7,leon despontin,"+ 5h 01' 54""",,"[5, 1, 54]","[221, 50, 26]","[226, 51, 80]",bel
1921,8,camile leroy,"+ 7h 56' 27""",,"[7, 56, 27]","[221, 50, 26]","[228, 106, 53]",bel
1921,9,firmin lambot,"+ 8h 26' 25""",,"[8, 26, 25]","[221, 50, 26]","[229, 76, 51]",bel
1921,10,félix goethals,"+ 8h 42' 26""",,"[8, 42, 26]","[221, 50, 26]","[229, 92, 52]",fra
1921,11,louis mottiat,"+ 8h 51' 24""",,"[8, 51, 24]","[221, 50, 26]","[229, 101, 50]",bel
1921,12,eugène dhers,"+ 9h 44' 36""",,"[9, 44, 36]","[221, 50, 26]","[230, 94, 62]",fra
1921,13,henri ferrara,"+ 11h 58' 24""",,"[11, 58, 24]","[221, 50, 26]","[232, 108, 50]",fra
1921,14,noel amenc,"+ 12h 37' 23""",,"[12, 37, 23]","[221, 50, 26]","[233, 87, 49]",fra
1921,15,joseph muller,"+ 12h 59' 08""",,"[12, 59, 8]","[221, 50, 26]","[233, 109, 34]",fra
1921,16,félix sellier,"+ 13h 56' 45""",,"[13, 56, 45]","[221, 50, 26]","[234, 106, 71]",bel
1921,17,henri colle,"+ 15h 02' 22""",,"[15, 2, 22]","[221, 50, 26]","[236, 52, 48]",sui
1921,18,enrico sala,"+ 19h 09' 18""",,"[19, 9, 18]","[221, 50, 26]","[240, 59, 44]",ita
1921,19,guglielmo ceccherelli,"+ 22h 49' 12""",,"[22, 49, 12]","[221, 50, 26]","[243, 99, 38]",ita
1921,20,auguste meyer,"+ 22h 53' 43""",,"[22, 53, 43]","[221, 50, 26]","[243, 103, 69]",fra
1921,21,benjamin javaux,"+ 25h 25' 34""",,"[25, 25, 34]","[221, 50, 26]","[246, 75, 60]",bel
1921,22,pierre hudsyn,"+ 25h 53' 44""",,"[25, 53, 44]","[221, 50, 26]","[246, 103, 70]",bel
1921,23,joseph normand,"+ 27h 05' 40""",,"[27, 5, 40]","[221, 50, 26]","[248, 55, 66]",fra
1921,24,etienne dorfeuille,"+ 27h 07' 44""",,"[27, 7, 44]","[221, 50, 26]","[248, 57, 70]",fra
1921,25,charles raboisson,"+ 27h 57' 32""",,"[27, 57, 32]","[221, 50, 26]","[248, 107, 58]",fra
1921,26,jules deloffre,"+ 31h 09' 48""",,"[31, 9, 48]","[221, 50, 26]","[252, 59, 74]",fra
1921,27,ernest paul,"+ 32h 26' 34""",,"[32, 26, 34]","[221, 50, 26]","[253, 76, 60]",fra
1921,28,edgard roy,"+ 32h 43' 15""",,"[32, 43, 15]","[221, 50, 26]","[253, 93, 41]",fra
1921,29,charles parel,"+ 34h 29' 08""",,"[34, 29, 8]","[221, 50, 26]","[255, 79, 34]",sui
1921,30,paul coppens,"+ 34h 50' 25""",,"[34, 50, 25]","[221, 50, 26]","[255, 100, 51]",fra
1921,31,jean kienlen,"+ 36h 18' 06""",,"[36, 18, 6]","[221, 50, 26]","[257, 68, 32]",fra
1921,32,lucien pothier,"+ 41h 45' 11""",,"[41, 45, 11]","[221, 50, 26]","[262, 95, 37]",fra
1921,33,lucien rocquebert,"+ 49h 37' 25""",,"[49, 37, 25]","[221, 50, 26]","[270, 87, 51]",fra
1921,34,robert constantin,"+ 57h 07' 39""",,"[57, 7, 39]","[221, 50, 26]","[278, 57, 65]",fra
1921,35,charles cento,"+ 57h 45' 21""",,"[57, 45, 21]","[221, 50, 26]","[278, 95, 47]",fra
1921,36,georges kamm,"+ 58h 00' 09""",,"[58, 0, 9]","[221, 50, 26]","[279, 50, 35]",fra
1921,37,adrien alpini,"+ 60h 34' 50""",,"[60, 34, 50]","[221, 50, 26]","[281, 84, 76]",fra
1921,38,henri catelan,"+ 62h 19' 57""",,"[62, 19, 57]","[221, 50, 26]","[283, 69, 83]",fra
1922,1,firmin lambot,"222h 08' 06""",,"[0, 0, 0]","[222, 8, 6]","[222, 8, 6]",bel
1922,2,jean alavoine,"+ 41' 15""",,"[0, 41, 15]","[222, 8, 6]","[222, 49, 21]",fra
1922,3,félix sellier,"+ 42' 02""",,"[0, 42, 2]","[222, 8, 6]","[222, 50, 8]",bel
1922,4,hector heusghem,"+ 43' 56""",,"[0, 43, 56]","[222, 8, 6]","[222, 51, 62]",bel
1922,5,victor lenaers,"+ 45' 32""",,"[0, 45, 32]","[222, 8, 6]","[222, 53, 38]",bel
1922,6,hector tiberghien,"+ 1h 21' 35""",,"[1, 21, 35]","[222, 8, 6]","[223, 29, 41]",bel
1922,7,léon despontin,"+ 2h 24' 29""",,"[2, 24, 29]","[222, 8, 6]","[224, 32, 35]",bel
1922,8,eugène christophe,"+ 3h 25' 39""",,"[3, 25, 39]","[222, 8, 6]","[225, 33, 45]",fra
1922,9,jean rossius,"+ 3h 26' 06""",,"[3, 26, 6]","[222, 8, 6]","[225, 34, 12]",bel
1922,10,gaston degy,"+ 3h 49' 13""",,"[3, 49, 13]","[222, 8, 6]","[225, 57, 19]",fra
1922,11,federico gay,"+ 3h 51' 59""",,"[3, 51, 59]","[222, 8, 6]","[225, 59, 65]",ita
1922,12,emile masson,"+ 4h 00' 21""",,"[4, 0, 21]","[222, 8, 6]","[226, 8, 27]",bel
1922,13,arsène alancourt,"+ 5h 20' 56""",,"[5, 20, 56]","[222, 8, 6]","[227, 28, 62]",fra
1922,14,philippe thys,"+ 5h 48' 58""",,"[5, 48, 58]","[222, 8, 6]","[227, 56, 64]",bel
1922,15,joseph pelletier,"+ 5h 53' 29""",,"[5, 53, 29]","[222, 8, 6]","[227, 61, 35]",fra
1922,16,joseph muller,"+ 7h 51' 23""",,"[7, 51, 23]","[222, 8, 6]","[229, 59, 29]",fra
1922,17,giuseppe santhia,"+ 8h 57' 35""",,"[8, 57, 35]","[222, 8, 6]","[230, 65, 41]",ita
1922,18,théophile beeckman,"+ 9h 40' 32""",,"[9, 40, 32]","[222, 8, 6]","[231, 48, 38]",bel
1922,19,louis heusghem,"+ 9h 50' 34""",,"[9, 50, 34]","[222, 8, 6]","[231, 58, 40]",bel
1922,20,jules nempon,"+ 12h 11' 56""",,"[12, 11, 56]","[222, 8, 6]","[234, 19, 62]",fra
1922,21,alfons standaert,"+ 12h 48' 46""",,"[12, 48, 46]","[222, 8, 6]","[234, 56, 52]",bel
1922,22,edgard roy,"+ 14h 29' 01""",,"[14, 29, 1]","[222, 8, 6]","[236, 37, 7]",fra
1922,23,joseph marchand,"+ 14h 58' 14""",,"[14, 58, 14]","[222, 8, 6]","[236, 66, 20]",bel
1922,24,enrico sala,"+ 16h 27' 21""",,"[16, 27, 21]","[222, 8, 6]","[238, 35, 27]",ita
1922,25,jules matton,"+ 17h 37' 39""",,"[17, 37, 39]","[222, 8, 6]","[239, 45, 45]",bel
1922,26,pierre hudsyn,"+ 20h 30' 17""",,"[20, 30, 17]","[222, 8, 6]","[242, 38, 23]",bel
1922,27,charles parel,"+ 22h 18' 09""",,"[22, 18, 9]","[222, 8, 6]","[244, 26, 15]",sui
1922,28,léon van aken,"+ 24h 00' 24""",,"[24, 0, 24]","[222, 8, 6]","[246, 8, 30]",bel
1922,29,marie aubry,"+ 27h 20' 36""",,"[27, 20, 36]","[222, 8, 6]","[249, 28, 42]",fra
1922,30,ernest paul,"+ 28h 35' 08""",,"[28, 35, 8]","[222, 8, 6]","[250, 43, 14]",fra
1922,31,georges kamm,"+ 32h 22' 57""",,"[32, 22, 57]","[222, 8, 6]","[254, 30, 63]",fra
1922,32,charles loew,"+ 36h 20' 19""",,"[36, 20, 19]","[222, 8, 6]","[258, 28, 25]",fra
1922,33,jules brun,"+ 46h 36' 59""",,"[46, 36, 59]","[222, 8, 6]","[268, 44, 65]",fra
1922,34,emmanuele luigi,"+ 47h 23' 13""",,"[47, 23, 13]","[222, 8, 6]","[269, 31, 19]",ita
1922,35,laurent devalle,"+ 54h 24' 20""",,"[54, 24, 20]","[222, 8, 6]","[276, 32, 26]",mon
1922,36,robert constantin,"+ 54h 53' 29""",,"[54, 53, 29]","[222, 8, 6]","[276, 61, 35]",fra
1922,37,charles hennuyer,"+ 59h 13' 12""",,"[59, 13, 12]","[222, 8, 6]","[281, 21, 18]",fra
1922,38,daniel masson,"+ 65h 53' 41""",,"[65, 53, 41]","[222, 8, 6]","[287, 61, 47]",fra
1923,1,henri pélissier,"222h 15' 30""",automoto,"[0, 0, 0]","[222, 15, 30]","[222, 15, 30]",fra
1923,2,ottavio bottecchia,"+ 30 '41""",automoto,"[0, 30, 41]","[222, 15, 30]","[222, 45, 71]",ita
1923,3,romain bellenger,"+ 1h 04 '43""",peugeot–wolber,"[1, 4, 43]","[222, 15, 30]","[223, 19, 73]",fra
1923,4,hector tiberghien,"+ 1h 29 '16""",peugeot–wolber,"[1, 29, 16]","[222, 15, 30]","[223, 44, 46]",bel
